Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
Zfp651	3	0.3	0.3	0	1	0	6	3	0.221018	0.7	-0.7	0.374718341595313	0.378994760052606	1	FALSE	83	4013	204
Gadd45b	5	0.5	0.5	0	1	0	6	3	0.4028287	0.7	-0.7	0.992939762655851	0.116418517940787	0	FALSE	4082	82	205
Nedd9	5	0.5	0.5	0	1	0	2	7	0.431106	0.8	0.8	0.841395022783035	0.0238141376345922	0	FALSE	4468	75	206
Ifi30	4	0.4	0.4	0	0	1	4	5	0.258936	0.6	-0.6	0.906965099394122	0.291634218971096	1	FALSE	342	988	207
Smpdl3a	4	0.4	0.4	0	1	0	4	5	0.337469	0.6	0.6	0.836963597215963	0.270950730230907	1	FALSE	461	735	208
Adam12	3	0.375	0.3	2	1	0	4	3	0.48305	0.625	-0.625	0.884632717440288	0.34224079388579	1	FALSE	154	2215	209
Ptgds	1	0.1	0.1	0	1	0	6	3	0.71294	0.7	-0.7	0.98592959791698	0.423325919316763	1	FALSE	35	9776	210
Sncaip	3	0.3	0.3	0	0	1	5	4	0.425154	0.6	0.6	0.853863101497171	0.346852577639784	1	FALSE	143	2393	211
Fmn2	2	0.25	0.2	2	1	0	4	3	0.22916125	0.625	-0.625	0.755871012968805	0.409031767372831	1	FALSE	47	7465	212
Rnd3	5	0.5	0.5	0	0	1	7	2	0.4133334	0.8	0.8	0.903234690300936	0.0238141376345922	0	FALSE	4468	79	213
Ndrg1	4	0.4	0.4	0	0	1	4	5	0.481994	0.6	-0.6	0.989534825496971	0.238369002115826	1	FALSE	742	476	214
Itpr1	5	0.5	0.5	0	0	1	6	3	0.412842	0.7	0.7	0.915903059436182	0.0238141376345922	0	FALSE	4468	80	215
Purb	4	0.4	0.4	0	0	1	3	6	0.218269	0.7	-0.7	0.427369686044765	0.302065306071877	1	FALSE	294	1220	216
Acyp2	4	0.4	0.4	0	1	0	7	2	0.648004	0.8	-0.8	0.747083270742577	0.213777411290371	1	FALSE	1067	338	217
Cd2bp2	5	0.5	0.5	0	0	1	5	4	0.147183	0.6	0.6	0.0456161434079415	0.187790610895152	0	FALSE	1608	225	218
Faah	5	0.5	0.5	0	0	1	7	2	0.4117	0.8	0.8	0.720294426919033	0.0238141376345922	0	FALSE	4468	81	219
Map2	3	0.375	0.3	2	1	0	3	4	0.17971625	0.625	0.625	0.934254669270442	0.381694025533479	1	FALSE	79	4589	220
Mef2d	5	0.5	0.5	0	1	0	5	4	0.2887821	0.6	-0.6	0.235191026989134	0.152930320555759	0	FALSE	2633	138	221
Ralgps1	4	0.4	0.4	0	0	1	3	6	0.2021874	0.7	-0.7	0.393996294627209	0.304606557392489	1	FALSE	282	1289	222
Scamp5	3	0.3	0.3	0	1	0	4	5	0.247818	0.6	0.6	0.601872715437384	0.368739368500992	1	FALSE	100	3656	223
Nkain2	4	0.571	0.4	3	0	0	1	6	0.559162857142857	0.857142857142857	-0.857142857142857	0.871063041410045	0.223490659723117	1	FALSE	918	400	224
