Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Bind_logFC	Bind_adj_Pval	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
Esrrg	21	0.309	0.304	1	8	3	6	39	0.488196720588235	0.839285714285714	0.839285714285714	0.807245505983676	0.211426759347254	0.473684210526316	NA	NA	FALSE	3	5	1
Efna5	16	0.232	0.232	0	9	2	13	32	0.379063333333333	0.732142857142857	0.732142857142857	0.805618146312153	0.175997708906901	0.368421052631579	0.592768867438493	0.0900048524072078	FALSE	16	44	2
Pbx3	15	0.217	0.217	0	9	2	9	36	0.328508913043478	0.803571428571429	0.803571428571429	0.802313354363828	0.177913910126691	0.368421052631579	0.605433285374045	0.0921747469648829	FALSE	14	71	3
Skida1	8	0.133	0.116	9	7	3	9	29	0.24561015	0.75	0.75	0.499449201341946	0.25387507455231	0.473684210526316	0.915115926319469	0.0227925874610193	FALSE	1	1396	4
Tshz1	18	0.261	0.261	0	10	1	9	36	0.351164739130435	0.821428571428571	0.821428571428571	0.776776325672225	0.13599653966063	0.368421052631579	0.0978384881856373	0.877000385514353	FALSE	125	19	5
Baz2b	13	0.188	0.188	0	11	0	5	40	0.205958623188406	0.910714285714286	0.910714285714286	0.466801862700916	0.178588437115448	0.368421052631579	0.79091210621496	0.0720571830373184	FALSE	13	188	6
Gfra1	15	0.217	0.217	0	10	1	6	39	0.329565057971014	0.875	0.875	0.905888538380652	0.1586555636179	0.263157894736842	0.606158536088214	0.0854962831347964	FALSE	37	70	7
Bmper	18	0.261	0.261	0	10	1	6	39	0.486871086956522	0.875	0.875	0.882129087176406	0.124239071214706	0.263157894736842	NA	NA	FALSE	217	14	8
Adgrl2	18	0.261	0.261	0	10	1	12	33	0.360531275362319	0.767857142857143	0.767857142857143	0.815582594762405	0.128342643002769	0.315789473684211	NA	NA	FALSE	182	18	9
Sdk1	20	0.29	0.29	0	10	1	4	41	0.617301855072464	0.910714285714286	0.910714285714286	0.69966451354464	0.107216703655184	0.315789473684211	0.311366151976393	0.312121186483566	FALSE	529	7	10
Tle4	11	0.159	0.159	0	6	5	14	31	0.16777331884058	0.660714285714286	0.660714285714286	0.601997896950578	0.183357421381885	0.368421052631579	0.550831762893339	0.238660562110103	FALSE	9	467	11
Plcb4	18	0.261	0.261	0	9	2	10	35	0.375685797101449	0.785714285714286	0.785714285714286	0.762705923589204	0.121299035173914	0.157894736842105	0.411961435543853	0.109553275229786	FALSE	255	17	12
Nova1	12	0.174	0.174	0	8	3	11	34	0.329756872463768	0.75	0.75	0.996469881327925	0.170470936196795	0.421052631578947	0.74433669994384	0.0237352438856633	FALSE	20	233	13
Tenm3	23	0.333	0.333	0	9	2	5	40	0.418313217391304	0.875	0.875	0.887662110059586	0.0857149358070693	0.210526315789474	NA	NA	FALSE	1792	3	14
Auts2	17	0.246	0.246	0	10	1	8	37	0.378184202898551	0.839285714285714	0.839285714285714	0.729808221921787	0.126067716527607	0.368421052631579	NA	NA	FALSE	200	28	15
Cntn5	13	0.228	0.188	12	7	3	7	28	0.415668122807018	0.777777777777778	0.777777777777778	0.653397426268089	0.157485114099027	0.210526315789474	NA	NA	FALSE	41	138	16
Robo2	15	0.254	0.217	10	8	2	9	29	0.359999355932203	0.770833333333333	0.770833333333333	0.943843573181113	0.135231651130899	0.315789473684211	0.576761253517413	0.0870648843369422	FALSE	131	66	17
