Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Bind_logFC	Bind_adj_Pval	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
Rhbg	0	0	0	1	2	1	1	3	0.780118571428571	0.714285714285714	0.714285714285714	0.642882179159782	0.0554920513130166	0.333333333333333	NA	NA	FALSE	9208	15244	14045
Gtf2h2	2	0.25	0.25	0	4	0	3	1	0.107705	0.875	-0.875	0.277151870211807	0.0366358074465903	0.166666666666667	-0.0298059027293598	0.941976632485729	FALSE	12870	10908	14046
Krt14	0	0	0	4	1	0	1	2	0.446392	0.75	0.75	0.938260477692654	0.0577590218826503	0.166666666666667	NA	NA	FALSE	8831	15898	14047
Ndufv3	0	0	0	0	3	1	3	1	0.0802465	0.75	-0.75	0.281332932752491	0.0614891235860236	0.333333333333333	0.0686913340048747	0.808908062128956	FALSE	8207	17111	14048
Cebpz	2	0.25	0.25	0	1	3	4	0	0.137267125	0.875	0.875	0.241775574583146	0.0360145526802634	0.166666666666667	-0.0368164037889109	0.926659234754216	FALSE	13020	10788	14049
Igfbp2	1	0.125	0.125	0	3	1	2	2	0.82005	0.625	0.625	0.98315056832407	0.0404150567835188	0.333333333333333	-0.0961365901200542	0.791591149369023	TRUE	12092	11617	14050
Emp2	2	0.25	0.25	0	4	0	1	3	0.3906725	0.875	0.875	0.859921886735767	0.0204208812435043	0.166666666666667	NA	NA	FALSE	16005	8778	14051
Tomm5	1	0.125	0.125	0	3	1	2	2	0.20617125	0.625	0.625	0.268414200590857	0.0505187823691861	0.333333333333333	-0.1351288949281	0.690362700526293	FALSE	10139	13859	14052
Fnta	2	0.25	0.25	0	3	1	4	0	0.20830675	0.875	-0.875	0.0631916278603976	0.0316312862022445	0.333333333333333	-0.049426426423655	0.871197462543003	FALSE	13878	10126	14053
Ska3	2	0.25	0.25	0	2	2	2	2	0.4085175	0.5	-0.5	0.768539382104051	0.0195977063969848	0	-0.273865849114726	0.336087215107652	FALSE	16148	8704	14054
Mfsd4b5	2	0.25	0.25	0	2	2	2	2	0.465019625	0.5	-0.5	0.325572079515297	0.0177840788127195	0.166666666666667	NA	NA	FALSE	16564	8486	14055
Thap2	2	0.25	0.25	0	1	3	2	2	0.187211625	0.625	-0.625	0.389189324520555	0.0331448911647159	0.166666666666667	-0.0416864743463101	0.889882951576032	FALSE	13592	10349	14056
Nvl	2	0.25	0.25	0	2	2	1	3	0.139652625	0.625	-0.625	0.0958139301987882	0.0358056287506444	0.166666666666667	-0.0821019834807311	0.844633274156975	FALSE	13064	10770	14057
Gm5901	0	NA	0	8	0	0	0	0	NA	NA	NA	NA	0.0618681333553749	0.5	0.192785985729337	0.636437770805251	FALSE	8159	17251	14058
Slc44a5	1	0.2	0.125	3	1	3	1	0	1.45876	0.8	0.8	0.733814030343999	0.0374646968385197	0.5	NA	NA	FALSE	12705	11079	14059
Cetn3	2	0.25	0.25	0	1	3	3	1	0.22429	0.75	0.75	0.0303940714035351	0.0302392990711393	0.166666666666667	-0.288902989257533	0.531815903540739	FALSE	14161	9950	14060
