Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	Count_DE_mm	Count_DE_hg	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
RSRP1_Rsrp1	3	0.375	0.3	2	3	1	2	2	0.41873	0.625	0.625	3	0	0.134820467586113	0.625	FALSE	1272	7241	2458
DYNLL2_Dynll2	6	0.6	0.6	0	1	4	3	2	0.255613	0.7	0.7	4	2	0.0626516808952955	0.5625	FALSE	9050	1018	2459
ELL_Ell	3	0.3	0.3	0	4	1	3	2	0.240497	0.7	-0.7	3	0	0.139088462126911	0.6875	FALSE	1116	8256	2460
CHTF8_Chtf8	3	0.333	0.3	1	1	3	2	3	0.212370444444444	0.666666666666667	-0.666666666666667	3	0	0.139673006887095	0.5625	FALSE	1084	8516	2461
FLT3LG_Flt3l	3	0.333	0.3	1	2	2	2	3	0.698952222222222	0.555555555555556	-0.555555555555556	3	0	0.131167460446536	0.6875	FALSE	1435	6434	2462
REEP3_Reep3	2	0.222	0.2	1	3	1	2	3	0.406524444444444	0.666666666666667	0.666666666666667	2	0	0.14591118328282	0.6875	FALSE	863	10705	2463
ZC3H3_Zc3h3	3	0.3	0.3	0	2	3	2	3	0.2773464	0.6	-0.6	3	0	0.137678328080564	0.6875	FALSE	1164	7938	2464
ALCAM_Alcam	5	0.5	0.5	0	4	1	1	4	0.47987	0.8	0.8	4	1	0.0927332141962288	0.5	FALSE	4602	2009	2465
RPS18_Rps18	3	0.3	0.3	0	5	0	4	1	0.290778	0.9	-0.9	2	1	0.137218856238615	0.625	FALSE	1179	7843	2466
WDR54_Wdr54	3	0.333	0.3	1	0	4	1	4	0.579046666666667	0.888888888888889	-0.888888888888889	2	1	0.132786867152394	0.6875	FALSE	1369	6756	2467
RFX7_Rfx7	3	0.3	0.3	0	1	4	3	2	0.268642	0.7	0.7	3	0	0.137985215005497	0.5	FALSE	1157	8000	2468
CPT1A_Cpt1a	4	0.4	0.4	0	5	0	4	1	0.625797	0.9	-0.9	4	0	0.113966783686959	0.5625	FALSE	2493	3715	2469
ADI1_Adi1	4	0.571	0.4	3	4	1	1	1	0.495671428571429	0.714285714285714	0.714285714285714	3	1	0.116853050557876	0.5625	FALSE	2290	4047	2470
PPP6R1_Ppp6r1	4	0.4	0.4	0	2	3	3	2	0.2034514	0.6	0.6	3	1	0.125130928829943	0.6875	FALSE	1736	5339	2471
SULT4A1_Sult4a1	5	0.5	0.5	0	1	4	3	2	0.919201	0.7	0.7	3	2	0.0778756877372048	0.5	FALSE	6722	1379	2472
KDELR2_Kdelr2	6	0.6	0.6	0	4	1	1	4	0.2207504	0.8	0.8	5	1	0.0642197515617818	0.5	FALSE	8812	1053	2473
ZSWIM4_Zswim4	4	0.4	0.4	0	1	4	2	3	0.391907	0.7	-0.7	4	0	0.119221211272426	0.6875	FALSE	2124	4370	2474
RELL1_Rell1	5	0.5	0.5	0	5	0	0	5	0.449972	1	1	4	1	0.0932286353461996	0.5625	FALSE	4537	2052	2475
ZFAT_Zfat	3	0.333	0.3	1	2	2	3	2	0.292353333333333	0.555555555555556	0.555555555555556	2	1	0.136826176382379	0.6875	FALSE	1189	7831	2476
BTF3L4_Btf3l4	4	0.444	0.4	1	0	4	4	1	0.246808888888889	0.888888888888889	0.888888888888889	3	1	0.123267730660347	0.625	FALSE	1837	5070	2477
