Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	Count_DE_mm	Count_DE_hg	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
C11orf52_2310030G06Rik	3	0.143	0.13	2	2	0	6	7	0.614519047619048	0.6	0.6	2	1	0.0991775251476532	0.272727272727273	FALSE	2706	4280	3029
RTN1_Rtn1	4	0.2	0.174	3	0	3	6	6	0.673424	0.6	-0.6	3	1	0.0713280265490824	0.181818181818182	FALSE	6295	1841	3030
MUC1_Muc1	1	0.045	0.043	1	2	1	8	5	0.739860954545455	0.625	-0.625	0	1	0.127470173528858	0.363636363636364	FALSE	1016	11409	3031
STT3B_Stt3b	4	0.174	0.174	0	1	2	12	2	0.316628260869565	0.823529411764706	0.823529411764706	2	2	0.0859091370860884	0.0909090909090909	FALSE	4046	2865	3032
HMGCR_Hmgcr	2	0.087	0.087	0	1	2	9	5	0.382460434782609	0.647058823529412	0.647058823529412	0	2	0.121147363438393	0.181818181818182	FALSE	1276	9091	3033
PMAIP1_Pmaip1	4	0.182	0.174	1	2	1	3	10	0.758827272727273	0.75	0.75	2	2	0.0682344839444423	0.181818181818182	FALSE	6864	1691	3034
CASP3_Casp3	4	0.182	0.174	1	1	2	7	6	0.358391363636364	0.5625	0.5625	3	1	0.083586329188962	0.0909090909090909	FALSE	4357	2664	3035
NSUN4_Nsun4	3	0.13	0.13	0	1	2	7	7	0.28103	0.529411764705882	-0.529411764705882	1	2	0.109031719520547	0.272727272727273	FALSE	1941	5982	3036
TMEM231_Tmem231	4	0.182	0.174	1	0	3	8	5	0.566115909090909	0.6875	0.6875	2	2	0.0749246095903018	0.181818181818182	FALSE	5675	2047	3037
CNTNAP2_Cntnap2	5	0.217	0.217	0	1	2	2	12	0.641963043478261	0.823529411764706	-0.823529411764706	3	2	0.021842272159165	0	FALSE	15938	729	3038
GTF2A2_Gtf2a2	4	0.182	0.174	1	1	2	8	5	0.278260427272727	0.625	0.625	2	2	0.0881481959686846	0.181818181818182	FALSE	3785	3074	3039
STK11IP_Stk11ip	2	0.095	0.087	2	0	3	4	8	0.306564	0.733333333333333	-0.733333333333333	1	1	0.122706450275855	0.272727272727273	FALSE	1212	9605	3040
POLR1A_Polr1a	4	0.182	0.174	1	1	2	5	8	0.322470090909091	0.625	-0.625	3	1	0.0854357247994841	0.272727272727273	FALSE	4102	2839	3041
EYA1_Eya1	4	0.19	0.174	2	0	3	5	8	0.509252380952381	0.6875	-0.6875	2	2	0.0769138761938668	0.181818181818182	FALSE	5336	2183	3042
CYFIP2_Cyfip2	5	0.227	0.217	1	2	1	9	4	0.387497727272727	0.6875	-0.6875	4	1	0.0484544366160078	0.181818181818182	FALSE	11003	1059	3043
INF2_Inf2	5	0.25	0.217	3	2	1	5	6	0.54666035	0.571428571428571	0.571428571428571	4	1	0.0337568561641116	0	FALSE	14176	823	3044
CCDC8_Ccdc8	2	0.143	0.087	9	1	1	3	3	0.499456785714286	0.5	-0.5	1	1	0.118806463778439	0.181818181818182	FALSE	1395	8368	3045
ZNF687_Zfp687	5	0.238	0.217	2	2	1	8	4	0.18014619047619	0.666666666666667	-0.666666666666667	4	1	0.0614936659582037	0.181818181818182	FALSE	8167	1430	3046
