Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	Count_DE_mm	Count_DE_hg	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
RUNX1_Runx1	22	0.386	0.361	4	3	7	23	20	0.82018871754386	0.566037735849057	0.566037735849057	6	16	0.273870552126629	0.886363636363636	TRUE	4	1	1
PLEC_Plec	17	0.288	0.279	2	6	4	20	24	0.426202305084746	0.555555555555556	0.555555555555556	5	12	0.281542128351763	0.810606060606061	FALSE	3	20	2
VIM_Vim	19	0.322	0.311	2	7	3	19	25	0.560696796610169	0.592592592592593	0.592592592592593	6	13	0.19028089471726	0.712121212121212	FALSE	107	3	3
JUNB_Junb	10	0.164	0.164	0	6	4	27	19	0.333635163934426	0.589285714285714	-0.589285714285714	2	8	0.283887590223852	0.810606060606061	FALSE	1	2415	4
BHLHE40_Bhlhe40	17	0.279	0.279	0	3	7	22	24	0.54678093442623	0.553571428571429	-0.553571428571429	3	14	0.177644553044732	0.666666666666667	FALSE	173	14	5
BTG2_Btg2	17	0.279	0.279	0	5	5	22	24	0.536305852459016	0.517857142857143	-0.517857142857143	4	13	0.172724238942245	0.78030303030303	FALSE	212	15	6
ATP2A3_Atp2a3	17	0.288	0.279	2	3	7	27	17	0.40445416779661	0.62962962962963	0.62962962962963	6	11	0.17623331776117	0.590909090909091	FALSE	179	22	7
DMWD_Dmwd	12	0.218	0.197	6	4	4	18	24	0.496614236363636	0.56	-0.56	5	7	0.261392499527674	0.886363636363636	FALSE	5	788	8
ZFP36_Zfp36	12	0.203	0.197	2	3	6	17	28	0.422618423728814	0.62962962962963	-0.62962962962963	3	9	0.249132474834478	0.765151515151515	FALSE	7	846	9
MOB3A_Mob3a	12	0.211	0.197	4	2	7	24	19	0.245702561403509	0.596153846153846	0.596153846153846	2	10	0.248210048761745	0.787878787878788	FALSE	8	1102	10
PHF19_Phf19	18	0.316	0.295	4	7	2	17	26	0.298284666666667	0.634615384615385	0.634615384615385	3	15	0.134643146222233	0.613636363636364	FALSE	1039	9	11
ATP6V0A1_Atp6v0a1	13	0.228	0.213	4	7	2	16	27	0.387555845614035	0.653846153846154	0.653846153846154	4	9	0.233486676928573	0.78030303030303	FALSE	21	479	12
LYL1_Lyl1	8	0.136	0.131	2	3	7	16	28	0.368188762711864	0.648148148148148	-0.648148148148148	3	5	0.28187136730548	0.772727272727273	FALSE	2	5091	13
PIM1_Pim1	14	0.237	0.23	2	4	6	17	27	0.420286001694915	0.611111111111111	-0.611111111111111	4	10	0.218445661087575	0.825757575757576	FALSE	44	239	14
SKI_Ski	16	0.276	0.262	3	4	5	18	26	0.339717534482759	0.584905660377358	-0.584905660377358	6	10	0.182987838807249	0.757575757575758	FALSE	145	74	15
INPP5A_Inpp5a	18	0.31	0.295	3	6	3	13	31	0.321318586206897	0.69811320754717	0.69811320754717	6	12	0.120627081447987	0.651515151515151	FALSE	1788	7	16
MYL12A_Myl12b	15	0.246	0.246	0	4	6	22	24	0.278632770491803	0.535714285714286	-0.535714285714286	4	11	0.198569255944576	0.772727272727273	FALSE	79	167	17
SPN_Spn	16	0.276	0.262	3	3	7	27	16	0.325616379310345	0.641509433962264	0.641509433962264	5	11	0.173920274368986	0.659090909090909	FALSE	198	78	18
MYADM_Myadm	16	0.267	0.262	1	2	7	25	21	0.425864966666667	0.581818181818182	0.581818181818182	5	11	0.165027014900551	0.636363636363636	FALSE	297	53	19
NFE2_Nfe2	14	0.246	0.23	4	3	6	22	21	0.540448157894737	0.538461538461538	0.538461538461538	6	8	0.203998305729375	0.848484848484849	TRUE	72	219	20
F2R_F2r	17	0.288	0.279	2	7	3	12	32	0.721913916949153	0.722222222222222	0.722222222222222	8	9	0.120485308588175	0.545454545454545	FALSE	1797	10	21
ST3GAL1_St3gal1	16	0.262	0.262	0	4	6	27	19	0.392110475409836	0.589285714285714	0.589285714285714	5	11	0.166387345545169	0.598484848484849	FALSE	279	65	22
IER2_Ier2	13	0.213	0.213	0	7	3	17	29	0.33419262295082	0.642857142857143	0.642857142857143	4	9	0.223348589504711	0.712121212121212	FALSE	37	533	23
TUBB_Tubb5	11	0.186	0.18	2	6	4	30	14	0.238026891525424	0.666666666666667	-0.666666666666667	1	10	0.244355155479137	0.825757575757576	FALSE	11	1806	24
ACSS2_Acss2	16	0.271	0.262	2	2	8	28	16	0.401179322033898	0.666666666666667	0.666666666666667	4	12	0.162326596347543	0.666666666666667	FALSE	328	62	25
ARID1A_Arid1a	13	0.22	0.213	2	6	4	25	19	0.210939745762712	0.574074074074074	-0.574074074074074	6	7	0.224766890940233	0.659090909090909	FALSE	35	688	26
SLC37A3_Slc37a3	16	0.276	0.262	3	5	5	10	33	0.422039103448276	0.716981132075472	-0.716981132075472	4	12	0.15624318519506	0.643939393939394	FALSE	441	55	27
TFPI_Tfpi	22	0.361	0.361	0	3	7	24	22	0.683343442622951	0.553571428571429	0.553571428571429	6	16	0.0372393446179293	0.159090909090909	FALSE	13067	2	28
CREB3_Creb3	13	0.224	0.213	3	4	5	19	25	0.257286068965517	0.566037735849057	-0.566037735849057	4	9	0.219471762212378	0.712121212121212	FALSE	42	625	29
FDFT1_Fdft1	19	0.322	0.311	2	4	6	32	12	0.288870169491525	0.703703703703704	0.703703703703704	3	16	0.0850767442618131	0.439393939393939	FALSE	5454	5	30
SIPA1L2_Sipa1l2	19	0.322	0.311	2	6	4	19	25	0.527600457627119	0.574074074074074	0.574074074074074	5	14	0.0760237666267621	0.386363636363636	FALSE	6820	4	31
RASGRP2_Rasgrp2	15	0.259	0.246	3	4	6	31	12	0.404696206896552	0.69811320754717	0.69811320754717	5	10	0.172095708606027	0.628787878787879	FALSE	215	127	32
ARHGEF12_Arhgef12	15	0.254	0.246	2	5	5	14	30	0.579253177966102	0.648148148148148	-0.648148148148148	7	8	0.166834596252763	0.856060606060606	FALSE	273	101	33
DUSP1_Dusp1	12	0.207	0.197	3	3	7	15	28	0.436247413793103	0.660377358490566	-0.660377358490566	3	9	0.225583220916409	0.787878787878788	FALSE	33	836	34
CAP1_Cap1	14	0.246	0.23	4	5	4	27	16	0.218954789473684	0.615384615384615	-0.615384615384615	4	10	0.19820228064625	0.765151515151515	FALSE	81	343	35
CDKN1A_Cdkn1a	17	0.293	0.279	3	4	6	20	23	0.520887413793103	0.547169811320755	-0.547169811320755	5	12	0.120323053206302	0.553030303030303	TRUE	1806	16	36
USP3_Usp3	11	0.186	0.18	2	3	7	21	23	0.190989372881356	0.555555555555556	-0.555555555555556	4	7	0.236744314923741	0.757575757575758	FALSE	15	1970	37
ITGB2_Itgb2	13	0.22	0.213	2	4	6	21	23	0.519018813559322	0.537037037037037	-0.537037037037037	5	8	0.203344030940849	0.71969696969697	TRUE	74	411	38
UBC_Ubc	10	0.169	0.164	2	7	3	13	31	0.172770915254237	0.703703703703704	0.703703703703704	2	8	0.244778961483927	0.757575757575758	FALSE	10	3185	39
TNFAIP8_Tnfaip8	18	0.305	0.295	2	5	5	33	11	0.411801186440678	0.703703703703704	0.703703703703704	5	13	0.0851492959285857	0.462121212121212	FALSE	5445	6	40
ADGRE5_Adgre5	15	0.254	0.246	2	6	4	18	26	0.345309593220339	0.592592592592593	0.592592592592593	5	10	0.171065024633586	0.613636363636364	FALSE	229	147	41
IRF2BP2_Irf2bp2	15	0.263	0.246	4	5	4	24	19	0.26921549122807	0.557692307692308	-0.557692307692308	2	13	0.173782223089047	0.659090909090909	FALSE	200	174	42
ZFP36L2_Zfp36l2	14	0.23	0.23	0	6	4	29	17	0.310876081967213	0.625	-0.625	3	11	0.184392797429003	0.727272727272727	FALSE	136	287	43
GABPB1_Gabpb1	14	0.237	0.23	2	5	5	16	28	0.212367152542373	0.611111111111111	-0.611111111111111	4	10	0.188201939769614	0.795454545454545	FALSE	118	351	44
RAC2_Rac2	12	0.207	0.197	3	5	5	21	22	0.343830982758621	0.509433962264151	-0.509433962264151	2	10	0.218064327844108	0.734848484848485	FALSE	46	917	45
SQSTM1_Sqstm1	16	0.271	0.262	2	4	6	15	29	0.233101084745763	0.648148148148148	-0.648148148148148	4	12	0.154675221402949	0.628787878787879	FALSE	471	91	46
PRKAG2_Prkag2	18	0.305	0.295	2	3	7	21	23	0.304263372881356	0.555555555555556	-0.555555555555556	5	13	0.0841535980612078	0.416666666666667	FALSE	5601	8	47
TFRC_Tfrc	17	0.304	0.279	5	6	3	28	14	0.439236053571429	0.666666666666667	-0.666666666666667	4	13	0.109033831771343	0.431818181818182	FALSE	2641	18	48
PTK2_Ptk2	13	0.232	0.213	5	4	5	13	29	0.452911035714286	0.666666666666667	-0.666666666666667	4	9	0.189570657754193	0.75	FALSE	112	433	49
TLE4_Tle4	17	0.279	0.279	0	7	3	20	26	0.398657704918033	0.589285714285714	0.589285714285714	3	14	0.114426093830398	0.636363636363636	FALSE	2204	23	50
CDKN2D_Cdkn2d	13	0.213	0.213	0	3	7	25	21	0.308033990163934	0.571428571428571	0.571428571428571	7	6	0.193915638494965	0.757575757575758	FALSE	92	559	51
GSE1_Gse1	6	0.105	0.098	4	5	4	23	20	0.262427701754386	0.538461538461538	-0.538461538461538	2	4	0.261049062638624	0.704545454545455	FALSE	6	8889	52
LBR_Lbr	15	0.254	0.246	2	7	3	28	16	0.279815305084746	0.648148148148148	-0.648148148148148	4	11	0.162804801956659	0.795454545454545	FALSE	323	166	53
TAGLN2_Tagln2	13	0.213	0.213	0	6	4	31	15	0.290026436065574	0.660714285714286	-0.660714285714286	1	12	0.193840378132395	0.810606060606061	FALSE	93	580	54
HPCAL1_Hpcal1	17	0.315	0.279	7	2	7	25	15	0.258782211111111	0.653061224489796	0.653061224489796	3	14	0.119761928497477	0.568181818181818	FALSE	1852	30	55
PXN_Pxn	16	0.281	0.262	4	3	6	10	33	0.342680157894737	0.75	-0.75	4	12	0.141499924662512	0.71969696969697	FALSE	792	73	56
PLAU_Plau	16	0.276	0.262	3	2	7	17	27	0.619335568965517	0.641509433962264	-0.641509433962264	3	13	0.124693840640842	0.46969696969697	FALSE	1576	37	57
ADAM15_Adam15	17	0.288	0.279	2	3	7	13	31	0.353489881355932	0.703703703703704	-0.703703703703704	5	12	0.113669368408311	0.477272727272727	FALSE	2262	26	58
TRIB1_Trib1	14	0.23	0.23	0	7	3	20	26	0.424354098360656	0.589285714285714	0.589285714285714	1	13	0.168802977949396	0.621212121212121	FALSE	250	237	59
SPNS2_Spns2	15	0.263	0.246	4	3	6	22	21	0.433764368421053	0.538461538461538	0.538461538461538	5	10	0.153597266494194	0.613636363636364	FALSE	485	123	60
RGS2_Rgs2	12	0.203	0.197	2	4	6	15	29	0.611976401694915	0.648148148148148	-0.648148148148148	4	8	0.198111813611687	0.75	FALSE	82	743	61
PPP1R18_Ppp1r18	14	0.237	0.23	2	6	3	18	27	0.261852949152542	0.611111111111111	0.611111111111111	5	9	0.174171652390597	0.734848484848485	FALSE	195	316	62
VASP_Vasp	11	0.186	0.18	2	5	5	18	26	0.225587322033898	0.574074074074074	-0.574074074074074	5	6	0.225011400923409	0.681818181818182	FALSE	34	1846	63
FTH1_Fth1	7	0.123	0.115	4	4	5	21	22	0.27210438245614	0.519230769230769	-0.519230769230769	2	5	0.245654890688585	0.787878787878788	FALSE	9	7110	64
PTGS1_Ptgs1	17	0.288	0.279	2	8	2	15	29	0.587112372881356	0.685185185185185	0.685185185185185	7	10	0.0884520105105747	0.477272727272727	FALSE	4951	13	65
SYK_Syk	17	0.293	0.279	3	7	2	23	21	0.3548	0.566037735849057	-0.566037735849057	5	12	0.109236289425556	0.568181818181818	FALSE	2621	25	66
NRP1_Nrp1	17	0.288	0.279	2	6	4	31	13	0.643166852542373	0.685185185185185	-0.685185185185185	5	12	0.0805044108613506	0.318181818181818	TRUE	6141	11	67
MLEC_Mlec	16	0.262	0.262	0	5	5	29	17	0.304157786885246	0.607142857142857	0.607142857142857	4	12	0.139454546479682	0.583333333333333	FALSE	855	81	68
PKM_Pkm	8	0.133	0.131	1	5	5	27	18	0.2703977	0.581818181818182	0.581818181818182	2	6	0.23821923634909	0.765151515151515	FALSE	13	5365	69
NBEAL2_Nbeal2	10	0.175	0.164	4	3	6	19	24	0.29985098245614	0.576923076923077	-0.576923076923077	4	6	0.227347179596359	0.840909090909091	FALSE	28	2501	70
EMP3_Emp3	11	0.186	0.18	2	3	7	26	18	0.410128593220339	0.611111111111111	0.611111111111111	2	9	0.214903150424014	0.863636363636364	FALSE	50	1422	71
PTPN22_Ptpn22	12	0.2	0.197	1	5	5	26	19	0.560897133333333	0.563636363636364	0.563636363636364	3	9	0.193220136521563	0.704545454545455	FALSE	95	762	72
