Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	Count_DE_mm	Count_DE_hg	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
RORC_Rorc	8	0.421	0.4	1	2	11	3	2	2.75812105263158	0.777777777777778	0.777777777777778	4	4	0.232806423083294	0.757575757575758	FALSE	69	244	32
FAM131A_Fam131a	10	0.5	0.5	0	8	5	3	3	0.3852655	0.578947368421053	0.578947368421053	4	6	0.163128005786381	0.606060606060606	FALSE	654	29	33
INPPL1_Inppl1	8	0.4	0.4	0	5	8	1	5	0.6455	0.684210526315789	-0.684210526315789	2	6	0.248020455630436	0.818181818181818	FALSE	41	489	34
RGS16_Rgs16	8	0.4	0.4	0	2	11	3	3	1.4630087	0.736842105263158	-0.736842105263158	2	6	0.227456924663116	0.848484848484849	FALSE	84	262	35
PROX1_Prox1	8	0.4	0.4	0	6	7	5	1	0.979913	0.631578947368421	0.631578947368421	4	4	0.232652097056133	0.787878787878788	FALSE	71	338	36
TPPP3_Tppp3	7	0.35	0.35	0	7	6	1	5	0.83375205	0.631578947368421	0.631578947368421	2	5	0.268833845363499	0.848484848484849	FALSE	19	1290	37
RALGDS_Ralgds	7	0.35	0.35	0	2	11	3	3	0.5538012	0.736842105263158	-0.736842105263158	3	4	0.2689965550442	0.909090909090909	FALSE	18	1608	38
DNER_Dner	9	0.45	0.45	0	4	9	5	1	1.489155	0.736842105263158	0.736842105263158	4	5	0.163845318871116	0.606060606060606	FALSE	640	46	39
SHB_Shb	10	0.5	0.5	0	2	11	1	5	0.695288	0.842105263157895	-0.842105263157895	3	7	0.115478825465653	0.393939393939394	FALSE	2536	12	40
MYT1_Myt1	6	0.3	0.3	0	6	7	4	2	1.475894	0.578947368421053	0.578947368421053	2	4	0.283142480075546	0.878787878787879	FALSE	11	2819	41
TRIM62_Trim62	9	0.45	0.45	0	2	11	3	3	0.975169	0.736842105263158	-0.736842105263158	4	5	0.171799874278325	0.696969696969697	FALSE	493	67	42
SEMA6B_Sema6b	9	0.45	0.45	0	4	9	3	3	1.564383	0.631578947368421	-0.631578947368421	4	5	0.15789553817029	0.818181818181818	FALSE	762	44	43
IER5L_Ier5l	8	0.4	0.4	0	3	10	3	3	0.6519473	0.684210526315789	-0.684210526315789	2	6	0.232505143147113	0.787878787878788	FALSE	72	482	44
E2F2_E2f2	8	0.4	0.4	0	7	6	3	3	0.8501645	0.526315789473684	0.526315789473684	3	5	0.225092498503574	0.757575757575758	FALSE	93	379	45
MBD3_Mbd3	9	0.45	0.45	0	7	6	3	3	0.26287855	0.526315789473684	0.526315789473684	3	6	0.208167198427225	0.666666666666667	FALSE	157	230	46
SMAD3_Smad3	10	0.5	0.5	0	7	6	1	5	0.693815	0.631578947368421	0.631578947368421	4	6	0.109858002991373	0.454545454545455	FALSE	2964	13	47
FAM222A_Fam222a	8	0.421	0.4	1	5	7	4	2	0.905254684210526	0.611111111111111	0.611111111111111	3	5	0.219700316324181	0.757575757575758	FALSE	109	360	48
LAMA5_Lama5	7	0.35	0.35	0	5	8	2	4	0.6146715	0.631578947368421	-0.631578947368421	2	5	0.263219510088315	0.818181818181818	FALSE	27	1528	49
ARVCF_Arvcf	7	0.35	0.35	0	5	8	1	5	0.7041819	0.684210526315789	-0.684210526315789	3	4	0.26150700812867	0.636363636363636	FALSE	29	1424	50
TRAF4_Traf4	8	0.4	0.4	0	2	11	3	3	0.6097064	0.736842105263158	-0.736842105263158	3	5	0.227457142521258	0.909090909090909	FALSE	83	511	51
IFFO1_Iffo1	9	0.45	0.45	0	2	11	3	3	0.6770175	0.736842105263158	-0.736842105263158	4	5	0.176426650956452	0.636363636363636	FALSE	431	99	52
KANK2_Kank2	6	0.3	0.3	0	6	7	1	5	0.50846835	0.631578947368421	-0.631578947368421	1	5	0.278211738322695	0.818181818181818	FALSE	12	3685	53
