Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Bind_logFC	Bind_adj_Pval	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
LGALS3	2	0.5	0.5	0	1	0	0	2	0.641205	1	1	0.936085581579207	0.258767691892054	0	0.816202184118805	0.0165942770409499	FALSE	63	29	1
ARID1A	2	0.5	0.5	0	0	1	1	1	0.2125825	0.666666666666667	-0.666666666666667	0.505435319695622	0.366165438894135	0.5	1.07657632171686	0.0190614961223156	FALSE	7	272	2
MEF2C	2	0.5	0.5	0	0	1	2	0	2.14035	1	1	0.948809170866686	0.113874675490595	0.25	0.174499172202139	0.839504990713913	TRUE	1945	1	3
BHLHE40	1	0.25	0.25	0	0	1	0	2	0.405175	1	-1	0.987152880719439	0.375409160420726	0.75	1.34335909059773	0.0246034922435893	FALSE	6	1191	4
PNRC1	0	0	0	0	0	1	2	0	0.224675	1	1	0.673781994268208	0.458940332189043	1	1.99818404407419	5.32769919601693e-12	FALSE	1	8863	5
RPS6KA2	2	0.667	0.5	1	0	1	1	1	0.935033333333333	0.666666666666667	-0.666666666666667	0.90322660341931	0.155412617406866	0.25	0.33923968133238	0.706589061117542	FALSE	786	13	6
SERPINB6	2	0.5	0.5	0	1	0	0	2	1.107895	1	1	0.717264551833185	0.0941072851171012	0.25	0.233730668951383	0.796301027029672	FALSE	3097	4	7
INPP5A	2	0.5	0.5	0	0	1	0	2	0.37795	1	-1	0.567397964225714	0.226036969235074	0.5	0.219143283813535	0.805621092058298	FALSE	121	118	8
UBE2J1	0	0	0	0	0	1	0	2	0.20736	1	-1	0.629360608755806	0.44542658673208	0.75	2.04858974349943	4.31592894061007e-11	FALSE	2	9437	9
S100A11	2	0.5	0.5	0	1	0	1	1	0.652725	0.666666666666667	0.666666666666667	0.946437394999506	0.158004329474859	0.25	0.19968019564424	0.862238512346162	FALSE	729	27	10
ARHGDIB	1	0.25	0.25	0	0	1	1	1	0.39853575	0.666666666666667	-0.666666666666667	0.898063049708469	0.319142287806788	0.5	1.22271018746433	0.0016694869054334	FALSE	17	1212	11
PDE6H	1	0.5	0.25	2	1	0	0	1	1.237225	1	1	0.466770431860856	0.26901126051837	0.5	1.15976072294801	0.00129760242457462	FALSE	54	382	12
SPRY4	1	0.25	0.25	0	0	1	1	1	0.709825	0.666666666666667	-0.666666666666667	0.98742464670422	0.284781395546846	0.75	0.873509393618969	0.0114962400157931	FALSE	34	627	13
SHANK1	2	0.5	0.5	0	1	0	1	1	0.589625	0.666666666666667	0.666666666666667	0.635215930427908	0.16331385836926	0.25	0.0909154179719049	0.907863045390636	FALSE	615	38	14
INKA1	0	0	0	0	0	1	2	0	0.255225	1	1	0.771494218796324	0.398218415707363	1	1.75500689372474	6.53135284821794e-05	FALSE	3	8108	15
ZNF441	2	0.5	0.5	0	0	1	0	2	1.3127675	1	-1	0.824537997825872	0.0367574850197623	0.25	-0.220718043745926	0.604964799453173	FALSE	12391	2	16
CD36	2	0.667	0.5	1	0	1	0	2	0.510633333333333	1	-1	0.993477616365253	0.17316270514373	0.5	0.81645338933275	0.0199715562421235	FALSE	465	58	17
CIPC	2	0.5	0.5	0	1	0	2	0	0.289675	1	-1	0.33370392331258	0.21829448332429	0.5	0.488127394910124	0.236461510873702	FALSE	139	195	18
LIN7A	2	0.5	0.5	0	0	1	0	2	1.2992475	1	-1	0.929612609941694	0.0519407015719846	0.25	NA	NA	FALSE	9248	3	19
PLEKHG2	2	0.5	0.5	0	1	0	2	0	0.433125	1	-1	0.463015120071153	0.18499262015202	0.5	0.144815141544448	0.882448695283608	FALSE	329	88	20
GPR84	1	0.333	0.25	1	0	1	1	0	0.6251	1	1	0.980235201106829	0.278384110587125	0.25	0.363846087633978	0.640588394376347	FALSE	41	734	21
KLF6	1	0.25	0.25	0	1	0	0	2	0.302995	1	1	0.96541160193695	0.30447649337286	0.5	0.801833379012493	0.122822751510147	FALSE	19	1654	22
SH2D3C	1	0.333	0.25	1	1	0	1	0	0.87438	1	-1	0.811542642553612	0.255674175706968	0.25	0.279901543423198	0.795507020873568	FALSE	67	499	23
CDKN1A	2	0.5	0.5	0	0	1	1	1	0.46018	0.666666666666667	-0.666666666666667	0.990611720525744	0.172264257350758	0.5	0.358521012852658	0.541427739683986	FALSE	480	76	24
MAPK1IP1L	1	0.25	0.25	0	0	1	2	0	0.0922525	1	1	0.349095760450637	0.34275204244428	0.5	1.0040877780381	0.00324986168138313	FALSE	11	3707	25
MEF2D	1	0.25	0.25	0	0	1	1	1	0.16628035	0.666666666666667	-0.666666666666667	0.336940409131337	0.328063934975321	0.75	1.01843147877225	0.0576504952411468	FALSE	15	3062	26
ZNF385A	1	0.25	0.25	0	0	1	1	1	0.5727625	0.666666666666667	-0.666666666666667	0.535527226010475	0.266688380154894	0.25	0.433049480864554	0.362487028774896	FALSE	57	822	27
AKR1B1	2	0.5	0.5	0	1	0	2	0	0.464075	1	-1	0.815199130348849	0.161789423026106	0.5	0.908168966971505	0.0143138047036635	FALSE	636	74	28
