Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Bind_logFC	Bind_adj_Pval	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
AQP9	0	0	0	1	0	0	1	1	0.07372	0.5	-0.5	0.955380966498666	0.0566848492720362	0	NA	NA	FALSE	8363	11711	12307
KCNG3	0	0	0	1	0	0	2	0	0.12595	1	1	0.774137760648285	0.0153102656822754	0	-0.233162187218061	0.819168974422681	FALSE	12123	8079	12308
AKTIP	0	0	0	0	1	0	1	1	0.0220173333333333	0.666666666666667	0.666666666666667	0.421583160391343	0.0828726655932047	0.333333333333333	-0.157978156613256	0.884304858201973	FALSE	5862	16713	12309
CNPY2	0	0	0	0	1	0	1	1	0.117156666666667	0.666666666666667	0.666666666666667	0.449155054847317	0.0355485670615971	0	-0.00825297969321448	0.991399994286563	FALSE	11395	8598	12310
POLR3A	0	0	0	0	1	0	2	0	0.02042	1	-1	0.0770085976875185	0.0834829831665439	0	0.0408531227713325	0.967300019270469	FALSE	5817	16847	12311
CEP57	0	0	0	0	0	1	2	0	0.102006666666667	1	1	0.549411997232928	0.0451149203350569	0	-0.0296210161404429	0.982367860410944	FALSE	10247	9564	12312
MAN2C1	0	0	0	1	0	0	1	1	0.064125	0.5	-0.5	0.111621701749185	0.0609642395201824	0	-0.187801207595235	0.888052804335323	FALSE	7824	12526	12313
DUT	0	0	0	0	1	0	2	0	0.12583	1	-1	0.684677339658069	0.0153102656822754	0	-0.22742877280445	0.872537381063492	FALSE	12123	8086	12314
FCN1	0	0	0	1	0	0	1	1	0.0414795	0.5	-0.5	0.913207826860362	0.0731948421476817	0	0.0644757158745235	0.942902757382819	FALSE	6678	14683	12315
CYP4Z1	0	0	0	1	0	0	2	0	0.124315	1	1	0.304674374938235	0.0302111179020347	0	NA	NA	FALSE	11966	8195	12316
PTGER3	0	0	0	0	1	0	1	1	0.125813333333333	0.666666666666667	0.666666666666667	0.93410910168989	0.0153102656822754	0	NA	NA	FALSE	12123	8089	12317
OR6C1	0	0	0	2	0	0	1	0	0.1194	1	1	NA	0.0341159645134319	0	NA	NA	FALSE	11570	8477	12318
SHE	0	0	0	1	0	0	0	2	0.025325	1	-1	0.78214250420002	0.0815031649962382	0	0.151759205960163	0.881080538566794	FALSE	5990	16374	12319
CDC123	0	0	0	1	0	1	1	0	0.108316	1	1	0.103814606186382	0.0412821766800717	0	-0.214464787263153	0.88043535198421	FALSE	10714	9155	12320
