Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Bind_logFC	Bind_adj_Pval	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
RUNX1	16	0.571	0.5	4	1	3	17	5	0.664868928571429	0.769230769230769	0.769230769230769	0.903893665381955	0.299493917929973	0.898550724637681	1.04684185788742	5.35194125657002e-12	TRUE	4	2	1
PLEC	12	0.4	0.375	2	2	2	12	11	0.474111533333333	0.518518518518518	0.518518518518518	0.828416839608657	0.359653273583243	0.826086956521739	0.876641928030186	7.55454974973832e-07	FALSE	1	86	2
BHLHE40	14	0.438	0.438	0	2	2	15	10	0.6373384375	0.586206896551724	0.586206896551724	0.987152880719439	0.218596609895445	0.695652173913043	0.171018682681735	0.485105190575795	FALSE	121	7	3
MYL12A	11	0.344	0.344	0	1	3	9	16	0.310580625	0.655172413793103	-0.655172413793103	0.655820733274039	0.28952684806148	0.91304347826087	1.31021256588722	4.57726623093494e-14	FALSE	9	318	4
PHF19	15	0.536	0.469	4	2	1	9	13	0.391144642857143	0.6	0.6	0.648903053661429	0.17250943631353	0.666666666666667	0.115147979971049	0.528638819529112	FALSE	498	6	5
VIM	13	0.433	0.406	2	3	1	13	10	0.745275033333333	0.592592592592593	-0.592592592592593	0.967906907797213	0.199380360140159	0.695652173913043	0.464602503060823	0.00406366236307733	FALSE	233	24	6
CTTN	12	0.4	0.375	2	3	1	6	17	0.631597666666667	0.740740740740741	0.740740740740741	0.745898804229667	0.224718471554581	0.840579710144927	1.00039336862857	1.35757584888454e-10	FALSE	103	69	7
TMBIM4	7	0.233	0.219	2	1	3	13	10	0.292806666666667	0.592592592592593	0.592592592592593	0.424226702243305	0.302651407350802	0.956521739130435	1.63096869326785	1.62015651759335e-33	FALSE	3	3829	8
FDFT1	16	0.533	0.5	2	3	1	17	6	0.318498333333333	0.740740740740741	-0.740740740740741	0.569028560134401	0.0987434983646929	0.420289855072464	0.151414254670379	0.278696100101247	FALSE	4347	3	9
TFPI	16	0.5	0.5	0	2	2	14	11	0.888424375	0.551724137931034	0.551724137931034	0.982063445004447	0.0424800458706143	0.144927536231884	NA	NA	FALSE	13105	1	10
MOB3A	10	0.333	0.312	2	0	4	13	10	0.257155266666667	0.62962962962963	0.62962962962963	0.46059393220674	0.274067045197432	0.840579710144927	0.937838244284319	5.02359409156151e-09	FALSE	20	787	11
IL6R	7	0.233	0.219	2	4	0	11	12	0.4235722	0.592592592592593	0.592592592592593	0.928822017985967	0.298839137481044	0.72463768115942	0.627660683078968	0.00234495915879882	FALSE	5	3432	12
RAC2	10	0.345	0.312	3	2	2	10	12	0.367008172413793	0.538461538461538	-0.538461538461538	0.930798497875284	0.260874563731452	0.739130434782609	0.678129495026869	5.58084722653572e-06	FALSE	29	611	13
BTG2	13	0.406	0.406	0	1	3	11	14	0.55699053125	0.586206896551724	-0.586206896551724	0.981001087063939	0.163490086400555	0.797101449275362	0.194098101030338	0.181470108831032	FALSE	669	28	14
TRIB1	13	0.406	0.406	0	3	1	10	15	0.424375625	0.620689655172414	0.620689655172414	0.966597489870541	0.169200945033483	0.608695652173913	-0.143376376283834	0.449700608849459	FALSE	554	34	15
MDM4	10	0.312	0.312	0	2	2	12	13	0.210851125	0.517241379310345	-0.517241379310345	0.709037454293903	0.266957081485089	0.797101449275362	0.865459314206522	9.32355657431791e-09	FALSE	25	887	16
HYLS1	8	0.25	0.25	0	2	2	10	15	0.38899271875	0.586206896551724	-0.586206896551724	0.502915307836743	0.287424815067847	0.956521739130435	1.32357091542864	8.20314680315648e-17	FALSE	11	2126	17
PRAG1	15	0.5	0.469	2	2	2	10	13	0.422602	0.555555555555556	-0.555555555555556	0.796200217412788	0.0934801954168014	0.420289855072464	0.102760789271364	0.468641112058845	FALSE	4897	5	18
TAGLN2	12	0.375	0.375	0	2	2	14	11	0.3358141875	0.551724137931034	0.551724137931034	0.803043779029548	0.204304445262246	0.826086956521739	0.376223579990394	0.021341327964117	FALSE	195	126	19
PTK2	9	0.333	0.281	5	1	2	7	14	0.305021407407407	0.666666666666667	-0.666666666666667	0.676326712125704	0.275735175720293	0.782608695652174	1.18734226667692	1.87774331213671e-19	FALSE	19	1295	20
IRF2BP2	13	0.433	0.406	2	2	2	13	10	0.267002	0.555555555555556	0.555555555555556	0.582345093388675	0.177941476876156	0.63768115942029	-0.119465559215049	0.492765896772451	FALSE	427	62	21
RAB11FIP1	14	0.438	0.438	0	2	2	15	10	0.32139284375	0.586206896551724	0.586206896551724	0.876222946931515	0.135968981226071	0.652173913043478	-0.0265655566607519	0.894820319936761	FALSE	1525	18	22
TLE4	14	0.438	0.438	0	4	0	13	12	0.460025	0.586206896551724	-0.586206896551724	0.814877952366835	0.108521887999098	0.579710144927536	-0.118247604728231	0.438756305266545	FALSE	3293	9	23
